title	onet_code	onet_name	job_zone	company	city	state	description_all
Cook	35-2011.00	"Cooks, Fast Food"	1	Golden Living - 360 Healthcare Staffing	SAINT CHARLES	MN	"Prepare food in accordance with prescribed resident diet specifications, facility procedures, and dietary and sanitary regulations under the supervision of the Dietary Services Manager. Walking/mobility, reaching, bending, lifting, grasping, pushing and pulling; fine hand coordination; ability to distinguish smells, tastes, and temperatures; ability to hear and respond to pages; ability to read and write and do mathematical percentile; ability to understand and follow written and oral instructions; ability to instruct personnel during training education and staff meetings; ability to communicate with residents and others; ability to understand and follow training and in-service education; and ability to remain calm in emergency situations and when handling multiple tasks. This is for a part time position."
Materials Handler	53-7062.00	"Laborers and Freight, Stock, and Material Movers, Hand"	2	The Greer Group	GARNER	NC	"Packaging/Material Handler needed for Garner distribution company. Must be able to lift 50+ pounds consistently. Consolidating and separating product into appropriate like products. Taking excess product from the production line, organizing ``go backs`` into inventory. Will operate a pallet jack. Must have a sense of urgency! Supply product from 7 cells in warehouse. Prepare trays, break down card board boxes, Keep area clean, heavy lifting ergonomically from waist height, to roller table, lifting constantly, strong physical ability, Cannot be lazy. Must be able to pass a10 year background check and a drug screen"
Convenience Store Manager	41-1011.00	First-Line Supervisors of Retail Sales Workers	2	Fabulous Freddys Car Wasd	LAS VEGAS	NV	"Convenience Store Manager Location: Las Vegas, NV Salary Range: DOE Benefits: yes Employment Type: Full Time Store: Other Description: Customer Service! Managing staff. Managing a convenience store. General use of cash register and handling money. Qualifications: Must be able to communicate with people and have a fabulous attitude. Customer service skills are essential! Must be able to learn quickly and adapt to a fast paced work environment."
Warehouse Shipping & Receiving Clerk	43-5071.00	"Shipping, Receiving, and Traffic Clerks"	2	rwd-group	OREM	UT	"Excellent entry-level opportunity to join a fast-growing company with current openings in our local branch.We produce fine quality soft beverages and currently seek individuals for shipping and receiving, inventory control, logistics, customs, and responsibility for facility maintenance.Other factors include inventory layout/flow of inventory in the warehouse, furniture delivery, packing, routing.Skills Wanted:- Good verbal communication skills- Able to work effectively in a fast-paced environment- Able to multi-task and effectively handle competing priorities- Able to complete tasks and resolve problems timely and effectively- Able to take direction, ask questions and learn new things- May be required to handle the accumulation, disposal and transportation of hazardous waste.- Drives fork lifts a plus Ability to lift 75+ lbs repeatedly throughout the day"
"Warehouse Shipping, Receiving Clerk"	43-5071.00	"Shipping, Receiving, and Traffic Clerks"	2	rwd-group	MISSION	TX	"Seeking candidates for Shipping and Receiving, Stocking Clerk positions. Job Responsibilities: * Verifies receipts against purchase orders. * Advises purchasing department of shortages and overages. * Stocks all goods in appropriate in-bin locations. * Assists in physical inventories. * Processes customer returns on a daily basis. * Provides daily receiving and stocking reports. * Ensures product is stocked and stored in correct bin locations. Shipping: * Process all shipments through manifest systems. * Schedules shipments for common carriers and local delivery. * Accurately records all pieces and weight for each shipment. * Ensures shipments are addressed correctly. * Assists in picking and packing. We offer weekly competitive pay with an established skill level wage structure and excellent benefits. Load and unload vehicles in a safe and professional manner"
SECURITY OFFICERS	33-9032.00	Security Guards	2	E.R.F. Security	DES PLAINES	IL	"We are seeking to hire qualified part-time and full-time security officers to join our ever-expanding team.REQUIREMENTS:* Valid BSIS Guard Card* Certificates for Guard Card training classes* High school diploma or GED or any documentation proving completion* Valid driver license or identification card* Social security card* Current authorization to work in the US (if you are not a US citizen)* Must pass background and drug screen, and DMV for certain posts** You must meet all of the above to be considered **SKILLS:- Provide excellent customer service to the client- Flexibility is a must, be able to work nights and weekends- Communicate clearly in English- Can follow directions- Dependable and on time- Well groomed and professional- Able to stand on feet for lengthy amount of time.- No visible tattoos Can follow directions"
SECRETARY - UNIT FT 36 HRS/WK- PCU	43-6013.00	Medical Secretaries	2	Conifer Health Solutions	ROCK HILL	SC	": Responsible for all clerical duties on the patient care unit.  Answers telephones, directs calls, and takes messages.  Promotes an efficient, cooperative and effective work environment.\\n\\nQualifications\\n\\n: High school diploma or equivalent is required.     -Must have working knowledge of basic medical terminology .  Must be computer literate with knowledge of Microsoft Word.  Must have one year clerical or related experience, preferably in a hospital setting.\\n\\nJob\\n: Non-Clinical/Administrative\\n\\nPrimary Location\\n: SC-Rock Hill\\n\\nHospital/Facility\\n: 340-Piedmont Medical Center - Rock Hill, SC\\n\\nJob Type: Full-time\\n\\nShift Type: 12 Hour Night"
LANDSCAPERS / GENERAL LABORERS	37-3011.00	Landscaping and Groundskeeping Workers	1	Adecco Group	NEVADA CITY	CA	"Job description\\n\\nAdecco is assisting a local client in their search for experienced General Laborers in Grass Valley, Nevada City and Rough & Ready areas. This is a Temporary position, but for the right candidate, could work out to a long term opportunity. If you meet the qualifications listed below please Apply Now!\\n\\nGeneral Laborers will be responsible for:\\n\\n- Lifting up to 50 lbs\\n- Taking direction well\\n- Great listening skills\\n- Bending, stretching, squatting\\n- Digging\\n- Using gardening tools\\n- Weed eating\\n- Planting\\n- Some landscaping experience, a plus!\\n\\nGeneral Labor candidates must meet the following requirements for consideration:\\n\\n- High School Diploma\\n- Own Transportation\\n- Able to work outside in all temperatures\\n- to stand for long periods of time\\n\\nClick on Apply Now to be considered for this position or any other General Labor related job opportunities through ADECCO and visit www.adeccousa.com frequently for new updates."
FOOD SRVS ASST (Part-Time)	35-1012.00	First-Line Supervisors of Food Preparation and Serving Workers	2	The Methodist Hospital System	HOUSTON	TX	"SUMMARY:  Responsible for taking and delivering patient meals and nourishments. Responsible for explaining patient`s diets and answering questions regarding food choices. Assist with Patient tray assembly. Responsible for maintaining floor stocks.\\n\\nDUTIES AND\\n \\n\\n \\n\\n \\n\\n \\nSince 1998, Houston Methodist Sugar Land Hospital has been serving Fort Bend and the surrounding counties. Residents have come to rely on a level of compassionate care and leading-edge technology that was once available only in the Texas Medical Center. With 243 licensed beds, 18 operating rooms and over 1,600 employees, Houston Methodist Sugar Land Hospital was designed to provide comprehensive, personalized care for the community.\\n\\nJob"
Truck Drivers $1200+ pw	53-7051.00	Industrial Truck and Tractor Operators	2	KP Recruiting Group	ANTHONY	KS	"Job DescriptionWe need Steel Haulers! You can live anywhere in mainland USA.Best pay for Best drivers. Earnings average $1200 per week PLUS!!Home Weekends. Pay is % of revenue - averaging .44 to .46 cents per mile loaded and empty!!Hauling mostly steel, pipes and building productsHauling 48 states - but mostly home on Fridays and Saturdays - ready to deliver on Mondays.No Forced DispatchTake truck home on weekendsAverage miles 2800 miles per week - depending on how you like to run !NO Hazmat HaulingHiring from 48 statesYou MUST have 2 years of OTR experience in the last 5 years including 6 months of flatbed exp in the last 2 years. You must have a good record. You MUST have some flatbed experience. Excellent Pay is Offered!!Call or send your resume and we will call you!Must HavesClass A CDL2 years of tractor trailer OTR hauling which must include 6 months of flatbed hauling."
Evening Custodian	37-1011.00	First-Line Supervisors of Housekeeping and Janitorial Workers	2	IU13 Lancaster-Lebanon Intermediate Unit	LANCASTER	PA	"Status: Full-time Schedule: 8 hrs./day; Monday-Friday year round Minimum hourly salary: $14.07 Responsible for the evening custodial duties at the Community School Southeast and the Conference & Training Center, both located at the Burle Business Park. High school diploma or equivalent. One year as an employee of a commercial cleaning company, or two years as self-employee cleaning service, or two year employee as custodian or janitor. Other Skills: • General knowledge of cleaning methods • Organizational skills • Ability to work with minimal supervision"
M1040-ASSOC TECHNICAL	41-1011.00	First-Line Supervisors of Retail Sales Workers	2	Saint Michael's Medical Center	NEWARK	NJ	"A member of the Patient Care team who provides care to patients under the direction of the Registered Nurse. High School Graduate or GED, current phlebotomy, EKG, and BLS certification or current Certified Nursing Assistant (CNA) with minimum of 2yrs experience in acute care and/or Emergency Room. Listening skills, math, computer skills. Works as a team player. Demonstrates respect and professionalism in all interactions. Excellent customer service and communication skills. To Apply for this position, please CLICK HERE"
Hospital Security Officer	33-9032.00	Security Guards	2	E.R.F. Security	HIGH POINT	NC	"We are currently looking to hire an experienced Security Officer with excellent leadership abilities and that touch of Customer Service to join our team in a hospital setting. Professionalism is a must! Flexibility is key. Work for a leader in the hospital security industry. Experience working in a hospital setting a plus.40 HOURS PER WEEK POSSIBILITY FOR MORE HOURSRequirements:-Must demonstrate excellent customer service skills and the ability to interact with a diverse group of people.-Must have excellent verbal and written communication skills.-Must be willing to submit to criminal and motor vehicle background checks and drug screen.-Must be 21 years of age.Education:High School Diploma or General Education DegreeLicense/Certification:-Must have a valid CA Driver's License-Must have Original CA Guard Card (No Copies or Printouts)-IAHSS, desiredExperience:Security experience in hospital / medical facility highly desired Good organizational skills"
CNC Operator	51-4011.00	"Computer-Controlled Machine Tool Operators, Metal and Plastic"	2	LSI Staffing	WICHITA	KS	"3 Axis CNC Machinist, Experience of 3 or more years. Ability to program with conversational control, set-up and run short order runs. Culture is clean and climate controlled in Machinist area of plant. Small family owned business. Good Benefits after hire for small company. Health benefits for EE only, vacation, holiday pay, year end bonus and may start a simple IRA and match 3% at 100%. 30 min lunch at 11: 30 and 2 10 mins breaks. OT on Saturday at times and may get off at 3: 30p some Fridays. Flexible to working Saturdays at times. Apply online at www.Lsistaffing.Com or Apply in person at LSI Staffing from 8-11am Monday/Tuesday/Thursday."
CNC Operator	51-4011.00	"Computer-Controlled Machine Tool Operators, Metal and Plastic"	2	LSI Staffing	WICHITA	KS	CNC Operators 3-5axis Prefer 2 yr experience Helpful to have some programming experience. 2nd shift Temp to Hire $14.00-16.00 Apply online at www.Lsistaffing.Com or Apply in person at LSI Staffing 250 N. Kansas from 8-11am Mon/Tues/Thurs.
CNC Operator	51-4011.00	"Computer-Controlled Machine Tool Operators, Metal and Plastic"	2	LSI Staffing	WICHITA	KS	"CNC Operators 3-5axis Prefer 2 yrs experience Temp to hire 1st shift $14.00-16.00DOE Good organizational skillls/measuring skills, blue print reading Apply online at www.Lsistaffing.Com or Apply in person at LSI Staffing 250 N. Kansas from 8-11am Mon/Tues/Thurs."
Per Diem Therapy Aide Job	31-2022.00	Physical Therapist Aides	2	University of Maryland Medical System	BALTIMORE	MD	"Under direct supervision and in compliance with PT and OT practice performs routine patient care activities to support physical or occupational therapy, and maintain a clean and orderly treatment area. As directed and in compliance with the SLP practice act, performs routine patient care activities to support speech language pathology.\\n\\nWhat You Need to Be Successful:\\n\\nHigh School Diploma or equivalent (GED) is required. Six months general work experience is preferred. Experience in a health care environment is preferred.\\n\\nCB*06/29/14\\n\\nWe are an Equal Opportunity Employer and do not discriminate against applicants due to race, ethnicity, gender, veteran status, or on the basis of disability or any other federal, state or local protected class.\\n\\nNearest Major Market: Baltimore\\nJob Segments: Rehabilitation, Medical, Pathology, Patient Care, Therapy, Healthcare"
Full Time Physical Therapy Short Term Need (Aug-Nov)	31-2022.00	Physical Therapist Aides	2	Soliant Health	DES PLAINES	IL	"Full Time Physical Therapy Short Term Need (Aug-Nov) * Job Location: Des Plaines, IL * Category: Schools - PT * Apply Now! * Back to Results Full time PT maternity leave fill in job opening in the Des Plaines, IL area located approx. 15 miles northwest downtown Chicago. This is a great opportunity for a new grad because plenty of support will be offered. • 5 days per week • Start Aug 14 • End Nov 6 • Will be treating only special education high school students • Will be working between three high schools but they are close to each other • Will have an office at one of the buildings Please contact Danielle at Soliant at 678-459-1132 for more information. School starts soon so we are looking to interview soon!"
Regional CDL A Truck Driver-Solo	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Alliance Transportation Systems	BENNETT	NC	"Alliance is currently hiring experienced company solo OTR drivers. Are you demanding job security, want to make over $1000 a week with time out starting at 7 days?Would you like to partner with solid company to call your ""HOME"" ,then please visit us and apply we are interested in speaking with you. Great pay and miles - 3,000 Plus Weekly Miles.. Assigned Take Home Trucks/trailers No slip seating 100% Drop and Hook GREAT TIME AT HOME Policy Average Annual Pay $55,000 to $65,000Qualifications1. Must be dependable, great communicator and team player2. Minimum 1 year CDL A T/T experience with in the last 3 years...3. Valid State Class A Commercial License4. Current Medical Card To apply, contact : (512) 774-4237 Keywords:Health and Dental Insurance"
Shift Manager - Green Street	41-1011.00	First-Line Supervisors of Retail Sales Workers	2	STB Inc.	HENDERSON	KY	"Shift ManagerReports To: ManagementThe Shift Manager supervises the operations of a shift to ensure that food safety, product preparation, cleanliness and inventory control standards are maintained. This may include scheduling and supervising staff. Exceptional customer service is a major..."
"Olympia WA, Contract OTR school job (40868051)"	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Soliant Health	OLYMPIA	WA	"A school district in Olympia WA is looking to hire a full time Occupational Therapist (OTR) for the upcoming school year. Olympia is a great town on the water and close to both Seattle WA and Portland OR.\\n\\nThe most qualified candidates will have experience providing therapy to a pediatric based population, specifically in a school setting. Must be eligible for ESA licensure.\\n\\nInterviews are being scheduled, apply immediately if interested and contact Ashley Patterson for further details on this opening:\\n\\nAshley Patterson\\n\\n866-281-3080\\n\\nAshley.Patterson@soliant.com.\\n\\nSoliant Health is a trusted Healthcare staffing agency that places therapists across the country and in a variety of settings. Our goal is to form a partnership with you and make finding your next job efficient, effective, and even enjoyable!"
Flatbed Truck Drivers	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Orion Drilling Company	CORPUS CHRISTI	TX	"As the demand for energy rises, oil and gas operators are turning to Orion Drilling Company. We are seeing growth and opportunity for our company and for our people. We want the best and brightest talent to join our amazing team. Now is the time to start your career at Orion Drilling Company WE ARE LOOKING FOR FLATBED TRUCK DRIVERS ****** COMPETITIVE WAG Responsibilities Safely transport of drilling rig components Perform pre and post trip inspections in accordance with DOT regulations Properly complete all daily paperwork Maintain a clean and safe driving record Consistently demonstrate cooperative team oriented behavior Other tasks may be assigned as needed Requirements: Education"
Banquet Cook	35-2014.00	"Cooks, Restaurant"	2	"Express Services, Inc"	0	PA	"Candidate should have good all around kitchen experience. Must have short order, line and banquet cooking experience. Full time evaluation hire position for right candidate. Must be available weekends and holidays."
Results Driven Sales Associate	41-2031.00	Retail Salespersons	2	"Massage Envy Franchising, LLC"	ESCONDIDO	CA	"Sales and Customer Service is the name of the Game\\n\\n• Proactive,\\n• Results Focused,\\n• Competitive,\\n• Decisive,\\n• A Finisher,\\n• Builds Rapport,\\n• Connects Quickly,\\n• Enjoys Urgency,\\n• Follow Through,\\n• Implements Processes\\n\\nThese are all adjectives that describe our team members.\\n\\nIf this describes you then we want to talk with you about being a Sales and Customer Service Team Member with our company.\\n\\nWe are Massage Envy Spa – the leader in the Spa industry and we continue to grow. We have the best services, wellness program, and retail to share with our guests and we are passionate about what we do.\\n\\nSubmit your resume on-line along with your email and contact information to apply for this great opportunity.\\n\\nThen be prepared to discuss how your experience prepares you for success with us. The right candidates can expect to have a lot of fun working in a fast paced environment earning an hourly rate plus commissions, bonuses and winning prizes!"
Cook - 5770268 SW Food Supp	35-2011.00	"Cooks, Fast Food"	1	St. Joseph's Healthcare System	WAYNE	NJ	Cook\\n\\nHS Diploma/GED and up to one year of basic technical training in food preparation & 6-12 months of previous work related experience. Certification required as a Food Handler from the city of Paterson.\\n\\nPosting Period: 01/21/2014 -> 01/21/2015\\nPosition Type: Allied Health/General Support Services\\nDepartment: SW Food Supp\\nFacility: Wayne\\nSchedule: Part Time\\nWork Shift: Day/Evening
Unloaders	53-7062.00	"Laborers and Freight, Stock, and Material Movers, Hand"	2	All Team Staffing	NEW YORK CITY	NY	Unloaders\\n\\nSeeking a Heavy Lifters/ Unloaders who will be able to perform the following job duties:\\n\\nLoading and unloading trucks\\n\\nMust be able to lift up to 50lbs\\n\\nReliable Transportation Needed\\n\\nBackground check and pre-employment drug screen will be performed.\\nTemp Position/ On Call\\n\\nLocation: Western & Central New York\\nSalary:
Forklift Operator	53-7051.00	Industrial Truck and Tractor Operators	2	DS Waters	LOS ANGELES	CA	"JOB DESCRIPTION\\n• Operate forklift to load/unload route trucks and inter-branch trailers.\\n• Maintain ORACLE inventory control.\\n• Input loads in and out of ORACLE.\\n• Maintain clean, orderly warehouse and loading areas.\\n• Participate in daily inventory activities including cycle counts.\\n• Verify load sheets and ensure trucks receive correct equipment and product loads.\\n• Responsible for ordering all products, as well as inventory control.\\n• Support Operations as needed.\\nJOB REQUIREMENTS\\n• Ability to perform mathematical functions of addition, subtraction, multiplication and division.\\n• Physically able to safely lift bottles and equipment weighing up to 50lbs.\\n• Able to work flexible, extended hours and weekends as required.\\n• Able to meet DS Waters’ driver qualification policy requirements.\\n• Certified forklift operator."
Door to Door Pros	41-9091.00	"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"	2	"Empower Marketing Services, LLC"	BALTIMORE	MD	"Our direct marketing firm is looking for D2D professionals. We represent the top energy companies in the industry. If you have experience, can bring on a team, or just want to work with a company that pays what they say they’ll pay, and does what they say they’ll do…respond to this ad with a resume or just email a brief introduction. We keep all inquiries confidential. We are the real deal. We know that the sales rep is our only asset. Give us an opportunity to prove ourselves to you."
Groundskeeper	37-3011.00	Landscaping and Groundskeeping Workers	1	Cross Keys Village - The Brethren Home Community	NEW OXFORD	PA	"Full time, 80 hours per pay period SUMMARY: Works as part of the Grounds Team to maintain an attractive and safe campus. Helps establish and follows direction set forth by the Grounds Department and community. The scope of job duties are of moderate complexity and the quality of work contributes to the safety and well-being of residents, team members, and visitors. Groundskeepers are responsible for establishing and maintaining excellent customer service. EDUCATION, EXPERIENCE, AND REQUIREMENTS: High school diploma or equivalent. Ability to read work related material and to follow directions. Possess valid drivers license. Optional PA applicator certification in category 6 and/or 7"
Sale Associate Level II	41-2031.00	Retail Salespersons	2	Krause Gentle Corporation	GRIMES	IA	"Job Responsibilities: Provide General Customer Service Assess Customer Needs Operate Machines Perform Arithmetic Calculations Order Inventory Stock and Price Product Maintain Cleanliness Build Displays Team Player Ability to Retain Information Self-Motivated Good Attitude Physical Requirements: Lift 60 lbs. or more / Navigate in small spaces (cooler, back rooms and sheds) Stand for 8 to 10 hour days, 6 days a week / Bend at knees, repetitiously (20-30 times a day) / Walk briskly Read PC monitor for long period of times Shovel Snow / Sweep Benefits: Holiday Pay 401K Retirement Plan - Kum & Go, L.C. matches .50 cents to a dollar up to 8%"
Insulator Supervisor. Beaumont Texas ?New 02/18?	47-2132.00	"Insulation Workers, Mechanical"	2	KBR	WEST ORANGE	TX	"Reports to and receives assignments, instructions, and direction from the Foreman or General Foreman. May provide some Insulation Foreman responsibilities on smaller projects. Reads and interprets instructions and documentation and plans work activities. Lays out and cuts insulating materials and fabricates insulation covers. Moves materials and equipment to work locations and sets up work site. Removes and replaces or installs insulation on plant operating equipment, pipelines, storage vessels, and tanks in support of plant construction and maintenance activities. Provides leadership, instruction, and guidance to lower level craftsmen and may reassign work delegated from supervisor. Completes records, maintains tools and equipment, and performs various clean-up and housekeeping activities. Observes and follows all safety rules and procedures, including wearing required personal safety equipment. Performs other duties and activities as directed."
"Care Aides, Live-in Caregiver"	39-9021.00	Personal Care Aides	2	Happy Days Care	BALDWIN PARK	CA	"We announce an outstanding medical career opportunities: Care Aides, Caregivers. Our ultimate goal is to provide effective alcohol and other drug dependency treatment services, including programs of education and research to help women, men and families begin the process of recovery. We serve patients, saving families and communities. Compensation includes: - Various shifts - Part Time, Weekends only - available- Direct Employment (pay taxes, workers' compensation, etc.)- Paid Educational and Training Programs- Competitive pay, vacation pay, medical/dental insurance good judgment skills"
Cashier (9590)	41-2011.00	Cashiers	1	MetroWest Medical Center	0	MA	Health and life insurance after 30 days 401(k) Plan with excellent company match Disability insurance Generous paid time off program Tuition reimbursement Free parking Please visit our website for additional information at www.mwmc.com.     We are an Equal Opportunity Employer and value diversity in our workplace.
Bilingual Telemarketer (Spanish)	41-9041.00	Telemarketers	2	SearchPros	SACRAMENTO	CA	"Bilingual Telemarketer (Spanish)M-F 7am to 3:30pm or 8am to 5pmPay: $15 an hourLong Term Contract positionMust be able to pass a Criminal Background CheckPosition: Outbound TelemarketerAn outbound telemarketer will be calling businesses to identify prospective targets for a particular product or service and qualify these contacts as leads. The telemarketer will be responsible for making a high volume of calls (200 calls) daily and is expected to generate at least two sales-ready leads a day.Requirements:-High volume call experience preferred-Good verbal and written communication skills-Professional and personable phone presence-Phone sales experience preferred-Punctual with good attendance record-Information Technology background a plus-PLUS to have an IT background. Customer service, sales or working in a data center"
Forklift Operator	53-7051.00	Industrial Truck and Tractor Operators	2	Impellam North America	GOLDSBORO	NC	"Job Overview Job Order:JO000012432Date Posted:Jun 25Salary:$8.50/HourIndustry:Metro Area:Goldsboro, NCStart Date:Jun 30 Forklift OperatorCORESTAFF Services in currently seeking Certified Forklift Operators.Must have a previous forklift certification or license from a previous job. Must have 1-2 years of forklift and receiving experience including using scan guns and some inventory (computer). Must be able to work in a fast paced and very physical environment. Some weekends may be required. Hours are 5:00am- 3:30pm. CORESTAFF Services is an Equal Opportunity Employer - All qualified applicants will receive consideration without regard to race, color, religion, gender, national origin,age, disability, veteran status, or any other factor determined to be unlawful under applicable law.CORESTAFF Services is not associated with Core Staffing Services, Inc. which operates in the New York metro area."
Customer Care - Collections Specialist	43-3011.00	Bill and Account Collectors	2	Kelly Services	GREEN BAY	WI	"### Job Description You will spend 100% of your time making calls to small customers who have 1-2 outstanding invoices. High volume of phones calls - upwards of 40 calls/day. Must possess strong communication skills, attention to detail. Strong working knowledge of MS Excel required. Collections experience a plus. Potential for permanent hire for the right candidate. *Job Reference #:* US6470MT_14885647 *Work Type:* Full Time *Employment Type:* Temporary/Contract *Category:* Administrative/ Clerical *Career Level:* Entry Level *Location:* Green Bay WI *Industry:* Transport and Storage - Materials *Highest Education:* High School - Diploma *% of Travel:* None *Date Posted:* 8 days ago *Shift/Hours:* First Shift (Day)"
Cafeteria Aide(s) 2.5 hr - 3 hr	35-9011.00	Dining Room and Cafeteria Attendants and Bartender Helpers	1	Franklin Township Public Schools	SOMERSET	NJ	"CAFETERIA DUTY AIDE(s) SGS, FPS, PGM, EAS, HILL Duties include maintaining order in the cafeteria assiting children where necessary, supervising lunch lines and other duties as assigned 2.5 hours per day or 3 hours per day"
Full Time & Part Time Security Guard	33-9032.00	Security Guards	2	VM Network	LAKEWOOD	CA	"We are currently has the following positions available for quality individuals:1. Security Officers ($13 per hour to start).Positions available for qualified individuals at premium locations to include: Medical Centers, Office Complexes, Condominiums, Fine Hotels and Special Events.2. Part time positions.All positions include:- All shifts available.- Competitive pay. Paid weekly.- Paid overtime. Advanced training.- Phone and California Drivers License required.- College background preferred & PC familiarity a plus.- References are required at interview.- Minimum age is 21 yrs.- All DOE. Flexibility is a must, be able to work nights and weekends"
Dietary Clerk	29-2051.00	Dietetic Technicians	2	Lake Regional Health System	OSAGE BEACH	MO	**JOB DESCRIPTION:**Obtains diet order from nursing service; obtains meal preferences from all patients; makes menu substitutions; serves correct diet; tallies menu items; notifies food service supervisor/cooks of needs and special requests; monitors portion control; verifies accuracy of patient trays; notifies dietitian of patient problems; prepares lists of snacks for preparation and delivery to patients.**QUALIFICATIONS:**General clerical/computer background required.
Security Guard	33-9032.00	Security Guards	2	Vertex Security	WAUKEGAN	IL	"Applicants must:- Have experience and good report writing skills.- Open for different work shifts.Some duties include but are not limited to:- Patrol hospital premises to prevent and detect signs of intrusion and ensure security of doors, windows, and gates.- Answer alarms and investigate disturbances.- Monitor and authorize entrance and departure of employees, visitors, and other persons to guard against theft and maintain security of premises.Write reports of daily activities and irregularities, such as equipment or property damage, theft, presence of unauthorized persons, or unusual occurrences.Rove patrol among visitors, patrons, and employees to preserve order and protect property.Answer calls for service, answer questions, and provide information.Warn persons of rule infractions or violations and evict violators from premises when necessary.Operate detecting devices to screen individuals and prevent passage of prohibited articles into restricted areas. Reliable/Punctual"
Security Guard	33-9032.00	Security Guards	2	Vertex Security	LAWRENCE	KS	"Security Guard will patrol assigned zone by foot, enforce client policy and regulations, and investigate all facility related incidents. Ensure that the client, its associates, and facility personnel are provided with a safe and professional working environment.Other Qualities We Expect:- A very detailed-oriented, thorough, and well-organized person- Patience, persistence, and excellent communication skills- The capability to handle multiple tasks at once- Reliability and dependability in terms of job attendance and performance- The ability to take direction and independently implement that directionWhat We Can Offer:- Competitive salary: $15-$16/hr- Challenging assignments- Skills-enhancement training- An exciting environment to work in Must be able to lift 25 lbs"
Security Guard	33-9032.00	Security Guards	2	Vertex Security	DENVER	CO	"We are seeking qualified candidates for Security Guard positions.- Job sites will be in local areas- Current positions are UNARMED- Must be available for swing, and grave shifts- Must be able to work weekendsOFFICER MUST MEET THESE REQUIREMENTS AND POSSESS THESE QUALITIES:- Professional- Speak and write English well- Proficient at report writing- Reliable and motivated- Punctual- No transportation issues flexible, hardworking"
Office Manager	43-9061.00	"Office Clerks, General"	2	Robert Half Legal	SAN FRANCISCO	CA	"Looking for a fantastic office manager for a boutique litigation firm in downtown San Francisco. Candidates must have previous law firm experience, including management of law firm finances and experience with Quickbooks, as well as billing software. Other duties include facilities management, employee relations, IT management, and supervision of law firm staff. Competitive salary and exceptional benefits! If interested, please respond to marina.wikner@roberthalflegal.com for confidential consideration."
Office Manager	43-9061.00	"Office Clerks, General"	2	Robert Half Legal	NEW YORK CITY	NY	"Our client, a large company located in lower Manhattan seeks an office manager to supervise legal support staff in several offices. Candidates must have a three plus years of legal support supervisory experience. Our client offers a competitive salary and excellent benefits. Please send resumes to mark.jaffe@roberthalflegal.com"
Office Manager	43-9061.00	"Office Clerks, General"	2	Robert Half Legal	SAN FRANCISCO	CA	"Seeking a fantastic office manager for a boutique firm in downtown San Francisco. The ideal candidate will have a minimum of three years in law office management handling facilities, vendor management, HR, employee relations, benefits administration, and billing. This is an opportunity to join a growing practice with a fun, positive culture. Please send resume to marina.wikner@roberthalflegal.com for confidential consideration."
Driver (Hourly)	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Catholic Charities - Diocese of Trenton	TRENTON	NJ	"JOB SUMMARY: Transport clients to and from program site and assist Transportation Coordinator in clerical responsibilties. ESSENTIAL FUNCTIONS: 1. Transport clients to and from Delaware House during morning and afternoon hours. 2. Other driving and administrative duties, as required by the program. 3. Transporting clients to medical appointme - High school diploma or GED and valid driver’s license. - CDL license endorsement preferred. - Safe driving record and the ability to exercise good judgment and flexibility when transporting clients. - Must satisfactorily complete Agency provided safety program. - Experience in a social service setting a plus. - Computer literate and basic working knowledge of MS Word and Excel. ~cb"
CDL Class A or B Driver	53-3032.00	Heavy and Tractor-Trailer Truck Drivers	2	Trillium Staffing	WHEELING	WV	"Trillium Driver Solutions, the industry expert in driver staffing is seeking CDL Class A or B Drivers in Wheeling, WV! Trillium Driver Solutions has been providing safe and professional CDL Drivers in positions across the United States since 1999. We are currently in need of CDL Class A or B Drivers! Candidates must have prior off road driving experience including water truck, dump truck, etc. Drivers must be able to physically install and remove liners, hook cables and climb."
CMM Inspector	51-9061.00	"Inspectors, Testers, Sorters, Samplers, and Weighers"	2	Belcan TechServices	CINCINNATI	OH	"All candidates must be open to working off shifts at this point 2nd and 3rd shiftsThis position may lead to direct in 3-6 monthsThe best person will have experience in DSQR. DSQR Trainingsomeone who can load the parts, & run the CMM. The position will last for approx. 3 to 6 months.final inspections, creating non-conformances. using O.D./I.D. micrometers, bore gauges, calipers, ultrasonic gauge, CMM using PCDMIS v. 3.7, bore scope, Mitutoyo comp. Tracer, optical comparator, FARO arm & much more. Work with calibration/gauge technician on engineering & designing various types of gauging."
Manual Laborer/Forklift Operator	53-7051.00	Industrial Truck and Tractor Operators	2	BelFlex Staffing Networking	SALINE	MI	"Able to lift up to 50 lbs repeatedlyDisassemble machinesDemolitionSome Forklift DrivingWork some OT Belcan is a leading provider of qualified personnel to many of the world's most respected enterprises. We offer excellent opportunities for contract/temporary, temp-to-hire, and direct assignments in the technical, IT, professional, clerical, and light industrial fields. We are the employer of choice for thousands worldwide. Our overriding goal is to provide quality staffing solutions that help people, organizations, and communities succeed. Belcan is a team-driven Equal Opportunity Employer committed to workforce diversity. For more information, please visit our website at http://www.belflex.com."
